Date,State,District,Mandi,Crop,Season,Month,Year,Arrival Quantity (Tonnes),Market Price (₹/kg),Minimum Price,Maximum Price,Rainfall (mm),Temperature (°C),Humidity (%),Fuel Price,Transport Cost (₹/kg),Distance (km),Festival Season,Supply Index,Demand Index
2025-01-05,Gujarat,Surat,Surat APMC,Coconut,Winter,1,2025,290.0,37.07,33.72,41.02,5.7,20.9,57.4,95.84,0.43,89,No,104,101
2024-08-25,Punjab,Ludhiana,Ludhiana APMC,Maize,Monsoon,8,2024,209.1,40.72,35.57,42.9,187.0,33.2,86.0,93.33,0.19,40,No,73,115
2023-02-27,Telangana,Warangal,Enumamula APMC,Tur (Arhar),Winter,2,2023,246.0,103.26,96.03,123.25,2.6,12.8,60.5,92.27,1.14,247,No,69,94
2020-01-07,Gujarat,Ahmedabad,Ahmedabad APMC,Wheat,Winter,1,2020,348.4,44.91,38.5,50.75,4.1,5.4,51.2,82.1,0.61,149,Yes,94,165
2023-11-30,Punjab,Jalandhar,Jalandhar APMC,Ragi,Post-Monsoon,11,2023,129.8,65.47,57.14,76.59,1.2,34.8,75.5,90.18,1.04,230,Yes,89,180
2024-02-22,Kerala,Thrissur,Thrissur Market,Ragi,Winter,2,2024,223.0,31.01,29.44,35.62,9.6,16.5,54.5,94.44,1.33,282,No,78,82
2020-01-21,Maharashtra,Pune,Pune APMC,Ragi,Winter,1,2020,145.5,77.14,68.6,90.36,9.7,15.8,63.4,83.91,0.39,93,Yes,62,167
2020-04-18,Gujarat,Surat,Surat APMC,Onion,Summer,4,2020,279.0,26.88,23.86,28.87,8.9,34.9,51.7,85.59,0.49,114,No,68,69
2025-01-23,Kerala,Thrissur,Thrissur Market,Paddy,Winter,1,2025,869.9,14.81,12.93,17.7,8.3,13.1,49.9,92.3,0.57,124,No,180,117
2024-06-15,Maharashtra,Nagpur,Kalamna Market,Moong,Monsoon,6,2024,48.5,116.91,107.33,131.83,169.1,28.3,70.3,93.11,0.6,129,No,77,105
2022-09-07,Uttar Pradesh,Agra,Agra APMC,Cotton,Monsoon,9,2022,252.9,85.63,78.3,94.41,154.0,31.5,98.0,91.06,0.21,47,No,68,82
2024-09-22,Telangana,Hyderabad,Kukatpally APMC,Potato,Monsoon,9,2024,104.2,22.39,19.54,25.66,91.0,26.1,83.4,95.36,1.31,274,No,71,74
2021-07-10,Kerala,Kannur,Kannur Market,Cotton,Monsoon,7,2021,203.8,68.02,61.28,73.28,199.6,31.7,95.4,88.35,1.05,238,No,72,77
2023-08-13,Haryana,Rohtak,Rohtak APMC,Potato,Monsoon,8,2023,372.9,55.09,48.16,65.43,77.7,27.3,94.0,93.62,0.59,125,Yes,75,173
2022-10-29,Tamil Nadu,Madurai,Paravai Market,Coconut,Post-Monsoon,10,2022,298.1,106.48,91.9,119.26,2.3,18.0,84.6,88.96,0.07,15,Yes,60,173
2022-06-14,Maharashtra,Mumbai,Vashi APMC,Potato,Monsoon,6,2022,183.6,21.49,19.45,23.89,54.1,27.6,88.4,86.15,0.88,204,No,66,69
2024-08-02,Uttar Pradesh,Varanasi,Varanasi APMC,Wheat,Monsoon,8,2024,382.2,61.09,57.61,65.87,186.0,25.1,96.5,94.84,1.07,226,Yes,79,147
2023-12-31,Punjab,Jalandhar,Jalandhar APMC,Tomato,Winter,12,2023,9.1,45.65,39.58,48.52,4.6,18.3,58.9,91.95,1.27,276,No,58,110
2021-10-09,Maharashtra,Nashik,Pimpalgaon,Tomato,Post-Monsoon,10,2021,208.1,61.01,52.29,72.45,3.0,25.3,65.5,84.93,0.42,100,Yes,69,171
2023-10-14,Uttar Pradesh,Agra,Agra APMC,Maize,Post-Monsoon,10,2023,736.7,19.39,17.3,21.21,2.2,28.1,33.1,88.42,1.04,235,Yes,162,135
2021-04-02,Gujarat,Rajkot,Rajkot Market,Moong,Summer,4,2021,266.7,134.0,114.81,149.54,2.1,33.1,33.8,88.67,1.12,252,No,64,111
2024-09-04,Tamil Nadu,Trichy,Gandhi Market,Jowar,Monsoon,9,2024,114.2,31.82,27.85,37.45,63.4,27.2,73.7,91.96,0.81,177,No,52,64
2021-04-19,Kerala,Ernakulam,Ernakulam Central,Potato,Summer,4,2021,21.8,20.44,17.79,23.16,8.1,36.2,22.7,89.41,1.31,294,No,85,92
2022-09-26,Telangana,Warangal,Enumamula APMC,Urad,Monsoon,9,2022,111.3,100.9,91.15,108.08,198.9,33.6,89.2,90.22,0.97,216,No,69,82
2020-10-19,Andhra Pradesh,Kurnool,Kurnool Market,Maize,Post-Monsoon,10,2020,115.6,13.76,12.18,14.5,0.2,34.8,61.3,82.95,0.48,115,No,149,114
2025-01-28,Uttar Pradesh,Kanpur,Kanpur Mandi,Jowar,Winter,1,2025,136.6,46.38,40.23,51.7,7.4,13.8,43.5,94.31,0.19,41,Yes,57,92
2025-06-04,Andhra Pradesh,Kurnool,Kurnool Market,Cotton,Monsoon,6,2025,153.0,166.12,149.7,198.77,74.4,29.8,76.6,97.41,0.05,11,No,53,119
2025-11-17,Maharashtra,Nashik,Pimpalgaon,Jowar,Post-Monsoon,11,2025,233.6,35.73,31.65,39.42,4.9,17.8,77.0,94.15,1.21,256,Yes,72,93
2024-02-29,Karnataka,Hubli,Hubli APMC,Jowar,Winter,2,2024,355.7,15.31,13.53,17.05,8.9,15.3,54.3,90.76,0.46,102,No,102,60
2020-05-19,Uttar Pradesh,Varanasi,Varanasi APMC,Soybean,Summer,5,2020,141.5,72.12,65.88,76.03,7.7,32.0,46.7,86.36,0.66,152,No,63,92
2021-02-16,Maharashtra,Nashik,Lasalgaon APMC,Moong,Winter,2,2021,206.0,75.57,67.33,84.2,9.1,18.5,61.7,85.38,0.69,162,No,94,93
2021-02-04,Uttar Pradesh,Lucknow,Lucknow Mandi,Coconut,Winter,2,2021,288.2,47.01,44.19,50.06,7.9,24.7,49.0,86.52,1.15,265,No,73,101
2020-09-17,Punjab,Ludhiana,Ludhiana APMC,Potato,Monsoon,9,2020,5.9,28.67,25.1,32.89,121.8,26.9,74.2,83.46,0.06,14,No,54,80
2021-11-05,Haryana,Panipat,Panipat Market,Coconut,Post-Monsoon,11,2021,193.3,80.34,73.77,90.48,8.1,23.8,55.5,89.81,0.2,45,Yes,81,173
2023-11-26,Gujarat,Ahmedabad,Ahmedabad APMC,Onion,Post-Monsoon,11,2023,161.0,100.04,88.6,106.79,9.4,17.1,76.3,89.7,0.13,30,Yes,55,173
2020-02-26,Maharashtra,Pune,Pune APMC,Potato,Winter,2,2020,405.8,15.85,13.6,18.47,1.2,13.3,45.2,85.32,0.49,116,No,97,82
2021-10-02,Gujarat,Surat,Surat APMC,Onion,Post-Monsoon,10,2021,404.5,22.93,20.32,26.89,4.7,30.9,65.6,87.77,0.87,199,No,95,79
2020-09-24,Karnataka,Bengaluru,K.R. Market,Mustard,Monsoon,9,2020,84.2,56.5,49.0,64.48,183.6,31.5,75.7,85.49,0.98,230,No,61,68
2022-01-28,Andhra Pradesh,Kurnool,Kurnool Market,Soybean,Winter,1,2022,106.6,57.55,53.33,62.83,2.0,8.3,47.5,87.95,0.76,172,No,84,96
2022-04-06,Maharashtra,Pune,Pune APMC,Tur (Arhar),Summer,4,2022,244.2,73.05,64.96,85.63,9.1,39.0,29.1,88.03,1.12,255,No,104,103
2023-10-17,Uttar Pradesh,Agra,Agra APMC,Cotton,Post-Monsoon,10,2023,238.5,30.0,26.01,33.15,5.2,18.4,48.5,91.49,1.34,293,No,175,68
2025-12-17,Gujarat,Rajkot,Rajkot Market,Maize,Winter,12,2025,388.9,33.73,30.08,39.71,7.0,7.8,64.7,93.43,1.35,288,No,80,101
2020-01-08,Uttar Pradesh,Lucknow,Lucknow Mandi,Soybean,Winter,1,2020,243.1,107.53,98.46,128.99,6.0,17.6,63.0,85.91,1.2,279,Yes,82,161
2022-08-10,Punjab,Jalandhar,Jalandhar APMC,Tur (Arhar),Monsoon,8,2022,163.0,116.58,102.11,127.07,106.7,28.8,97.1,90.18,1.14,253,Yes,105,150
2022-09-03,Uttar Pradesh,Varanasi,Varanasi APMC,Groundnut,Monsoon,9,2022,234.3,80.83,69.14,85.57,119.4,26.1,96.3,88.06,0.7,158,No,96,119
2020-11-28,Telangana,Hyderabad,Bowenpally Market,Jowar,Post-Monsoon,11,2020,402.1,15.97,14.34,16.83,5.3,28.8,87.5,83.76,0.67,160,No,87,61
2022-09-13,Haryana,Panipat,Panipat Market,Tomato,Monsoon,9,2022,40.2,44.69,42.06,47.76,76.1,30.0,87.8,86.36,1.04,241,No,51,97
2020-05-23,Kerala,Palakkad,Palakkad APMC,Moong,Summer,5,2020,332.5,85.69,76.07,101.76,1.0,34.3,34.9,84.05,0.45,107,No,97,118
2024-05-12,Haryana,Karnal,Karnal APMC,Mustard,Summer,5,2024,232.7,65.99,59.24,74.32,4.5,38.4,50.9,92.92,1.04,224,No,107,113
2022-06-07,Punjab,Jalandhar,Jalandhar APMC,Bajra,Monsoon,6,2022,115.9,14.17,12.58,15.28,97.4,30.1,73.1,86.02,0.81,188,No,106,65
2021-08-13,Andhra Pradesh,Chittoor,Chittoor APMC,Mustard,Monsoon,8,2021,432.1,90.15,77.12,103.82,153.9,28.2,75.9,89.22,0.77,173,Yes,104,163
2023-01-19,Tamil Nadu,Erode,Erode Market,Groundnut,Winter,1,2023,27.7,70.2,62.23,78.22,2.3,25.0,63.0,90.64,0.73,160,No,94,107
2024-03-06,Maharashtra,Nashik,Lasalgaon APMC,Tomato,Summer,3,2024,278.6,27.19,23.31,32.02,0.1,44.4,50.6,91.65,0.3,65,No,94,93
2023-04-30,Maharashtra,Pune,Pune APMC,Potato,Summer,4,2023,154.4,16.08,15.26,18.0,4.0,38.1,49.5,93.52,0.48,102,No,80,60
2022-01-29,Karnataka,Hubli,Hubli APMC,Urad,Winter,1,2022,27.3,220.12,194.64,261.13,8.1,7.1,45.9,90.81,0.41,90,Yes,74,171
2020-08-11,Punjab,Amritsar,Amritsar Market,Jowar,Monsoon,8,2020,229.9,48.0,41.69,55.21,185.0,34.5,82.8,82.99,0.73,175,No,58,119
2021-12-19,Tamil Nadu,Madurai,Madurai Central,Ragi,Winter,12,2021,208.9,29.88,26.68,33.93,5.4,18.7,45.1,88.25,1.1,249,No,68,78
2023-09-13,Telangana,Warangal,Enumamula APMC,Mustard,Monsoon,9,2023,351.8,78.24,69.8,83.57,106.6,33.9,71.5,93.05,1.23,265,No,87,117
2023-09-15,Gujarat,Rajkot,Rajkot Market,Cotton,Monsoon,9,2023,150.7,127.86,116.27,143.31,75.8,26.4,87.1,88.55,1.1,248,No,55,99
2023-04-21,Gujarat,Rajkot,Rajkot Market,Onion,Summer,4,2023,33.6,35.44,31.12,38.58,5.3,40.9,38.8,88.06,1.17,266,No,81,97
2023-02-05,Gujarat,Surat,Surat APMC,Potato,Winter,2,2023,116.4,34.64,31.85,36.97,1.8,18.4,40.0,88.45,0.95,215,No,70,113
2025-10-06,Maharashtra,Mumbai,Vashi APMC,Wheat,Post-Monsoon,10,2025,243.1,65.04,60.05,69.94,0.3,20.3,78.3,95.34,1.12,235,Yes,80,155
2023-04-30,Maharashtra,Nashik,Pimpalgaon,Cotton,Summer,4,2023,92.8,71.16,64.15,80.94,8.0,31.8,37.4,88.47,0.42,96,No,77,78
2020-11-16,Haryana,Rohtak,Rohtak APMC,Soybean,Post-Monsoon,11,2020,150.5,99.81,86.05,118.49,10.0,33.4,36.4,85.17,1.02,239,No,57,117
2021-04-20,Andhra Pradesh,Chittoor,Chittoor APMC,Wheat,Summer,4,2021,661.3,12.0,10.48,13.97,7.3,37.2,26.6,85.94,0.48,112,No,174,73
2025-01-30,Uttar Pradesh,Kanpur,Kanpur Mandi,Mustard,Winter,1,2025,115.2,184.1,163.99,220.28,6.0,22.0,52.3,92.26,0.18,38,Yes,57,149
